postal_code,city,state,name,max(cool)
32819,Orlando,FL,Universal's Endless Summer Resort - Surfside Inn and Suites,57
32821,Orlando,FL,Marriott's Harbour Lake,57
30354,Atlanta,GA,Maynard H. Jackson International Terminal,57
78719,Austin,TX,Hyatt Place Austin Airport,57
43201,Columbus,OH,Buckeye Donuts,57
97209,Portland,OR,NW Natural,56
01906,Saugus,MA,McDonald's,56
97230,Portland,OR,Choi's Kimchi,55
78719,Austin,TX,Austin-Bergstrom International Airport - AUS,55
30342,Atlanta,GA,Northside Hospital,55
32805,Orlando,FL,King of Bounce,55
43235,Columbus,OH,The Timbrook Guesthouse,55
02188,Weymouth,MA,CVS Pharmacy,55
97209,Portland,OR,Radio Cab Company,54
98662,Vancouver,WA,The Heathman Lodge,53
32792,Winter Park,FL,Wawa,53
30309,Atlanta,GA,Loews Atlanta Hotel,52
32812,Belle Isle,FL,Wawa,51
V6X 4A6,Richmond,BC,Four Points by Sheraton Vancouver Airport,51
32826,Orlando,FL,Steak ’n Shake,49
97218,Portland,OR,Hollywood Theater,48
V6Z 2B6,Vancouver,BC,Best Western Premier Chateau Granville Hotel & Suites,48
32819,Orlando,FL,Rosen Shingle Creek,48
32830,Orlando,FL,Disney's Polynesian Village Resort,47
32763,Orange City,FL,Wawa,46
32821,Orlando,FL,Orlando World Center Marriott,46
02134,Boston,MA,DoubleTree Suites by Hilton Hotel Boston - Cambridge,46
32827,Orlando,FL,Southwest Airlines,46
32801,Orlando,FL,Thornton Park District,46
30301,Atlanta,GA,Uber,46
32839,Orlando,FL,Krispy Kreme,45
43140,London,OH,Holiday Inn Express London-I-70,45
32830,Lake Buena Vista,FL,Disney's Saratoga Springs Resort & Spa,45
32810,Orlando,FL,Frank Gay Services,45
78701,Austin,TX,Omni Austin Hotel Downtown,45
34747,Celebration,FL,7-Eleven,44
32830,Lake Buena Vista,FL,Disney's Riviera Resort,44
02472,Watertown,MA,Winters Home Services,44
97205,Portland,OR,Park Lane Suites & Inn,44
30337,Clayton,GA,Blue Moon Brewhouse,44
V6Z 2R9,Vancouver,BC,Sheraton Vancouver Wall Centre,44
32822,Orlando,FL,Wawa,44
02128,Boston,MA,Lyft,43
30320,Atlanta,GA,Southwest Airlines,43
02128,Boston,MA,Spirit Airlines,43
V6E 4R5,Vancouver,BC,Vancouver Marriott Pinnacle Downtown Hotel,43
02128,Boston,MA,Boston Logan International Airport -  Terminal B,43
32830,Kissimmee,FL,Disney's Pop Century Resort,43
V6X 2X9,Richmond,BC,No 9 Restaurant,42
97201,Portland,OR,Kimpton RiverPlace Hotel,42
78759,Austin,TX,Renaissance Austin Hotel,42
32817,ORLANDO,FL,IHOP,42
97220,Portland,OR,Broadway Cab,42
30344,Atlanta,GA,Racetrac,42
30305,Atlanta,GA,Hyatt Place Atlanta Buckhead,41
32806,Orlando,FL,Emerald Plumbing,41
32803,Orlando,FL,AdventHealth Orlando,41
32822,Orlando,FL,Waffle House,40
33896,Davenport,FL,Wawa,40
78731,Austin,TX,Mobile Austin Notary,40
78744,Austin,TX,Omni Austin Hotel at Southpark,40
34747,Kissimmee,FL,Rodeway Inn Maingate,39
97204,Portland,OR,Hotel Rose,39
97217,Portland,OR,Country Inn & Suites by Radisson,39
78752,Austin,TX,Midtowne Spa,39
32771,Sanford,FL,Wawa,39
02116,Boston,MA,Moxy Boston Downtown,39
78744,Austin,TX,Tru by Hilton Austin Airport,39
97220,Portland,OR,Courtyard Portland Airport,39
97204,Portland,OR,"The Duniway Portland, A Hilton Hotel",39
30303,Atlanta,GA,Hyatt Regency Atlanta,39
V6C 2W6,Vancouver,BC,Fairmont Hotel Vancouver,38
34746,Kissimmee,FL,Gaylord Palms Resort & Convention Center,38
78704,Austin,TX,Greetings From Austin Postcard Mural,37
78701,Austin,TX,Sheraton Austin Hotel at the Capitol,37
30326,Atlanta,GA,Hilton Garden Inn Atlanta - Buckhead,37
34747,Kissimmee,FL,Days Hotel by Wyndham Celebration,37
32806,Orlando,FL,Walmart Neighborhood Market,37
02142,Cambridge,MA,Boston Marriott Cambridge,36
32826,Orlando,FL,Rinaldi's Energy Solutions,36
32821,Orlando,FL,Hilton Orlando-Bonnet Creek Resort,36
32806,Orlando,FL,7-Eleven,36
43214,Columbus,OH,McDonald's,36
78617,Austin,TX,Circle K,36
78704,Austin,TX,Austin Motel,36
30308,Atlanta,GA,Georgia Tech Hotel and Conference Center,36
32701,Altamonte Springs,FL,Steak ’n Shake,36
V6B 1L6,Vancouver,BC,Delta Hotels by Marriott Vancouver Downtown Suites,35
34746,Kissimmee,FL,Holiday Inn Orlando SW - Celebration Area,35
32780,Titusville,FL,Anytime Fitness,35
30305,Atlanta,GA,The St. Regis Atlanta,35
34746,Kissimmee,FL,Waffle House,35
V6C 0B9,Vancouver,BC,Fairmont Pacific Rim,35
02129,Boston,MA,Residence Inn by Marriott Boston Harbor on Tudor Wharf,35
97015,Clackamas,OR,Sunnyside Inn and Suites,35
78759,Austin,TX,Fairfield Inn & Suites Austin Northwest/ The Domain Area,35
78745,Austin,TX,Central Texas Veterinary Specialty & Emergency Hospital,35
32822,Orlando,FL,Denny's,35
30303,Atlanta,GA,Hilton Atlanta,35
32701,Altamonte Springs,FL,AdventHealth Altamonte Springs,35
V6B 2T4,Vancouver,BC,Ripe Rides,34
32817,Orlando,FL,Walmart Supercenter,34
78701,Austin,TX,InterContinental Stephen F. Austin,34
32763,Orange City,FL,Walmart Supercenter,34
32754,Mims,FL,I-95 Northbound Rest Area,34
78752,Austin,TX,Hampton Inn Austin-North @ I-35 & Hwy 183,34
32830,Orlando,FL,Disney's Coronado Springs Resort,33
02108,Boston,MA,Without A Hitch,33
02130,Boston,MA,MSPCA Angell,33
32771,Sanford,FL,St Johns Rivership Company,33
32830,Orlando,FL,Disney's Port Orleans Resort - French Quarter,33
34744,Kissimmee,FL,Quality Inn & Suites Heritage Park,33
02138,Cambridge,MA,"Freepoint Hotel Cambridge, Tapestry Collection by Hilton",33
32821,Orlando,FL,Fairfield Inn Orlando Lake Buena Vista in the Marriott Village,33
32837,Orlando,FL,"The Ritz-Carlton Orlando, Grande Lakes",33
34746,Kissimmee,FL,Walmart Supercenter,33
34747,Orlando,FL,Disney's Animal Kingdom Villas - Kidani Village,33
78704,Austin,TX,Walgreens,33
30337,College Park,GA,RaceTrac,33
78703,Austin,TX,Magnolia Cafe,32
43035,Lewis Center,OH,Walmart Supercenter,32
78701,Austin,TX,Hampton Inn & Suites Austin-Downtown/Convention Center,32
97209,Portland,OR,Residence Inn by Marriott Portland Downtown/Pearl District,32
97204,Portland,OR,Kimpton Hotel Monaco Portland,32
32819,Orlando,FL,McDonald's,32
32780,Titusville,FL,Hampton Inn Titusville/I-95 Kennedy Space Center,32
97217,Portland,OR,Rodeway Inn Portland - Jantzen Beach,32
97204,Portland,OR,"The Nines, a Luxury Collection Hotel, Portland",32
30303,Atlanta,GA,Atlanta Marriott Marquis,31
32821,Orlando,FL,Residence Inn by Marriott Orlando at SeaWorld,31
97232,Portland,OR,DoubleTree by Hilton Hotel Portland,31
32819,Orlando,FL,The Point Hotel & Suites,31
30318,Atlanta,GA,QuikTrip,31
32822,Orlando,FL,AdventHealth East Orlando,31
78723,Austin,TX,Embassy Suites by Hilton Austin Central,31
32763,Orange City,FL,AdventHealth Fish Memorial,31
97220,Portland,OR,Carl's Jr,31
32812,Orlando,FL,Holiday Inn Express & Suites Orlando International Airport,31
02128,East Boston,MA,Alamo Rent A Car,31
V6W 1E7,Richmond,BC,Holiday Inn Express & Suites Riverport Richmond,31
32821,Orlando,FL,Marriott's Grande Vista,30
32807,Orlando,FL,Wawa,30
32830,Lake Buena Vista,FL,Dinosaur,30
43207,Columbus,OH,White Castle,30
30339,Atlanta,GA,Sheraton Suites Galleria-Atlanta,30
30080,Smyrna,GA,McDonald's,30
97201,Portland,OR,Hotel Modera Portland,30
02151,Revere,MA,Select Airport Valet Parking,30
34711,Clermont,FL,Waffle House,30
34747,Kissimmee,FL,Caribe Cove,29
02150,Chelsea,MA,Towneplace Suites Boston Logan Airport/Chelsea,29
30308,Atlanta,GA,Emory University Hospital Midtown,29
78701,Austin,TX,Pop-A-Lock,29
80302,Boulder,CO,Hotel Boulderado,29
97205,Portland,OR,Kimpton Hotel Vintage Portland,29
97201,Portland,OR,Portland Marriott Downtown Waterfront,29
34747,Kissimmee,FL,AdventHealth Celebration,29
02116,Boston,MA,Boston Marriott Copley Place,29
02210,Boston,MA,"The Envoy Hotel, Autograph Collection",29
33837,Davenport,FL,Wawa,29
02114,Boston,MA,"The Liberty, a Luxury Collection Hotel, Boston",29
43235,Columbus,OH,IHOP,29
32819,Orlando,FL,Hyatt Place Orlando Convention Center,29
32763,Orange City,FL,Steak ’n Shake,28
30032,Decatur,GA,Waffle House,28
32821,Orlando,FL,Waldorf Astoria,28
97205,Portland,OR,Small Pharoah's,28
78752,Austin,TX,Hyatt Place Austin - North Central,28
78617,Del Valle,TX,FastPark & Relax,28
30320,Atlanta,GA,Terminal D - Atlanta Airport,28
V6C 2R7,Vancouver,BC,Hyatt Regency Vancouver,28
78701,Austin,TX,Fairmont Austin,28
02062,Norwood,MA,Hampton Inn Boston-Norwood,28
30303,Atlanta,GA,"The Westin Peachtree Plaza, Atlanta",28
32801,Orlando,FL,Marriott Orlando Downtown,28
78751,Austin,TX,Radiant Plumbing & Air Conditioning,27
30337,Atlanta,GA,AC Hotel By Marriott Atlanta Airport Gateway,27
97205,Portland,OR,Ace Hotel Portland,27
78701,Austin,TX,The Driskill,27
97220,Portland,OR,Hyatt Place Portland Airport Cascade Station,27
32806,Orlando,FL,Wawa,27
01803,Burlington,MA,Archer Hotel Burlington,27
32771,Sanford,FL,Del-Air Heating and Air Conditioning,27
32830,Lake Buena Vista,FL,Hilton Orlando Buena Vista Palace,27
98665,Vancouver,WA,Columbia River Veterinary Specialists,27
78704,Austin,TX,Hotel San José,27
78758,Austin,TX,A-Best Water Damage Restoration & Carpet Cleaning,27
32817,Orlando,FL,Waffle House,27
97205,Portland,OR,Hotel deLuxe,27
78701,Austin,TX,Element Austin Downtown,26
30080,Smyrna,GA,Hyatt Place Atlanta/Cobb Galleria,26
30303,Atlanta,GA,Holiday Inn Atlanta Dwtn - Centennial Park,26
78735,Austin,TX,Jim's Restaurants,26
78701,Austin,TX,Peddle,26
32835,Orlando,FL,7-Eleven,26
97220,Portland,OR,Dollar Car Rental,26
01805,Burlington,MA,Lahey Hospital & Medical Center,26
32738,Deltona,FL,McDonald's,26
32701,Altamonte Springs,FL,BP Gas,25
97211,Portland,OR,New Rose City Cab Company,25
32802,Orlando,FL,City of Orlando,25
32803,Orlando,FL,Wawa,25
30303,Atlanta,GA,Courtyard by Marriott Atlanta Downtown,25
32803,Orlando,FL,McDonald's,25
34787,Winter Garden,FL,TownePlace Suites Orlando at FLAMINGO CROSSINGS Town Center,25
30329,Atlanta,GA,Courtyard by Marriott Atlanta Executive Park/Emory,25
V7J 2H5,North Vancouver,BC,Holiday Inn Hotel & Suites North Vancouver,25
V6E 1C6,Vancouver,BC,Tropicana Suites On Robson,25
32830,Lake Buena Vista,FL,Disney's Caribbean Beach Resort,25
32819,Orlando,FL,Hampton Inn & Suites Orlando-John Young Pkwy/S. Park,25
30337,College Park,GA,Hertz Rent A Car,25
97005,Beaverton,OR,WinCo Foods,25
97205,Portland,OR,Hotel Lucia,25
32821,Orlando,FL,Hilton Grand Vacations at Tuscany Village,25
30324,Atlanta,GA,Mama's Cocina Latina,25
V6X 1S3,Richmond,BC,Tim Hortons,25
32819,Orlando,FL,Extended Stay America - Orlando - Southpark - Commodity Circle,25
78730,Austin,TX,Austin Veterinary Emergency & Specialty Center,24
97209,Portland,OR,DoveLewis Emergency Animal Hospital,24
02115,Boston,MA,Boston Children's Hospital,24
97201,Portland,OR,Plaid Pantry,24
30329,Atlanta,GA,IHOP,24
32836,Orlando,FL,Waffle House,24
30339,Atlanta,GA,Waffle House,24
30324,Atlanta,GA,Tokyo Valentino,24
V5H 2W7,Burnaby,BC,Hilton Vancouver Metrotown,24
97209,Portland,OR,Vacasa,24
78759,Austin,TX,Studio 6,24
30303,Atlanta,GA,Waffle House,24
02139,Cambridge,MA,7-Eleven,24
32725,Deltona,FL,McDonald's,24
34746,Kissimmee,FL,Walgreens,24
02458,Newton,MA,Sea To You Sushi,24
97204,Portland,OR,Mill Ends Park,24
32830,Lake Buena Vista,FL,Walt Disney World Swan,24
30326,Atlanta,GA,"The Ritz-Carlton, Buckhead",24
78701,Austin,TX,JW Marriott Austin,23
97220,Portland,OR,Aloft Portland Airport at Cascade Station,23
78735,Austin,TX,Remedy Urgent Care,23
02169,Quincy,MA,Dunkin',23
32830,Lake Buena Vista,FL,Disney's Beach Club Villas,23
30308,Atlanta,GA,QuikTrip,23
32819,Orlando,FL,Residence Inn by Marriott Orlando Convention Center,23
01801,Woburn,MA,Encompass Health Rehabilitation Hospital of New England,23
32821,Orlando,FL,Caribe Royale Orlando,23
32837,Orlando,FL,Home Inspections by PJM,23
32824,Orlando,FL,ExecuCar,23
02109,Boston,MA,Boston Marriott Long Wharf,23
78759,Austin,TX,Springhill Suites by Marriott Austin Northwest/The Domain Area,23
97211,Portland,OR,McDonald's,23
02116,Boston,MA,W Boston,23
02114,Boston,MA,The Whitney Hotel Boston,23
02142,Cambridge,MA,Residence Inn by Marriott Boston Cambridge Center,23
33837,Davenport,FL,AdventHealth Heart of Florida,23
97205,Portland,OR,The Roxy,23
32836,Orlando,FL,Delta Hotels by Marriott Orlando Lake Buena Vista,23
78751,Austin,TX,Tyson's Tacos,22
32820,Orlando,FL,Loews Royal Pacific Resort,22
97210,Portland,OR,Legacy Good Samaritan Medical Center,22
02134,Allston,MA,Dunkin',22
32819,Orlando,FL,Embassy Suites Orlando- International Drive South/ Convention,22
32780,Titusville,FL,McDonald's,22
32801,Orlando,FL,Leak Doctor,22
78701,Austin,TX,Holiday Inn Austin-Town Lake,22
32809,Orlando,FL,Waffle House,22
78759,Austin,TX,Ascension Seton Northwest,22
02108,Boston,MA,Kimpton Nine Zero Hotel,22
32803,Orlando,FL,Steak ’n Shake,22
97220,Portland,OR,Residence Inn by Marriott Portland Airport at Cascade Station,22
02138,Cambridge,MA,The Charles Hotel,22
97232,Portland,OR,KEX Portland,22
97006,Beaverton,OR,Tanasbourne Veterinary Emergency,22
32836,Orlando,FL,Courtyard by Marriott Orlando Lake Buena Vista at Vista Centre,22
97232,Portland,OR,Courtyard Portland Downtown - Convention Center,22
32801,Orlando,FL,Aloft Orlando Downtown,22
97217,Portland,OR,Javier's Taco Shop,22
30032,Decatur,GA,QuikTrip,22
34747,Kissimmee,FL,Westgate Town Center Resort,22
30309,Atlanta,GA,Americas Best Value Inn Midtown Atlanta,22
V6X 1R9,Richmond,BC,Hampton Inn by Hilton Vancouver-Airport/Richmond,21
32827,Orlando,FL,American Airlines,21
V6C 3B5,Vancouver,BC,Pan Pacific Vancouver,21
32827,Orlando,FL,Budget Rent A Car,21
43219,Columbus,OH,United Airlines,21
32825,Orlando,FL,Denny's,21
78722,Austin,TX,Dreamers,21
32707,Casselberry,FL,Walmart Supercenter,21
32806,Orlando,FL,Orlando Health Winnie Palmer Hospital for Women & Babies,21
V6E 0C6,Vancouver,BC,Trump International Hotel & Tower Vancouver,21
32818,ORLANDO,FL,IHOP,21
78701,Austin,TX,Alpine Engine,21
98662,Vancouver,WA,Days Inn & Suites by Wyndham Vancouver,21
02139,Cambridge,MA,Courtyard by Marriott Boston Cambridge,21
78744,Austin,TX,Waffle House,21
78753,Austin,TX,Dreamers,21
78701,Austin,TX,Homejoy,21
02139,Cambridge,MA,Inman Square,21
32801,Orlando,FL,"Grand Bohemian Hotel Orlando, Autograph Collection",21
30035,Decatur,GA,Dunkin',21
02128,Boston,MA,Hyatt Regency Boston Harbor,21
02114,Boston,MA,The Red Hat,20
97201,Portland,OR,University Place Hotel & Conference Center,20
30309,Atlanta,GA,Four Seasons Hotel Atlanta,20
32821,Orlando,FL,Hilton Grand Vacations at SeaWorld,20
78719,Austin,TX,Austin South Terminal,20
97205,Portland,OR,The Paramount Hotel Portland,20
78738,Bee Cave,TX,The Steamery ATX,20
32771,Sanford,FL,Cafe Rouge Express,20
97204,Portland,OR,Hilton Portland Downtown,20
32830,Orlando,FL,7-Eleven,20
32830,Orlando,FL,Disney's Wilderness Lodge,20
97232,Portland,OR,Crowne Plaza Portland-Downtown Conv Ctr,20
32819,Orlando,FL,Quality Inn & Suites Near the Theme Parks,20
97218,PORTLAND AP,OR,Thrifty Car Rental,20
32819,Orlando,FL,Rosen Inn International,20
80302,Boulder,CO,Millennium Harvest House Boulder,20
32836,Orlando,FL,Sheraton Orlando Lake Buena Vista Resort,20
98664,Vancouver,WA,Walmart Supercenter,20
32830,Orlando,FL,Disney's Animal Kingdom Lodge,19
32830,Lake Buena Vista,FL,Walt Disney World Dolphin,19
78719,Austin,TX,Briggo Coffee Haus,19
32819,Orlando,FL,Westgate Lakes Resort and Spa,19
34761,Ocoee,FL,Walmart Supercenter,19
78746,Austin,TX,Pennybacker Bridge,19
78752,Austin,TX,Denny's,19
30309,Atlanta,GA,Piedmont Atlanta Hospital,19
32827,Orlando,FL,National Car Rental,19
97232,Portland,OR,Dutch Bros Coffee,19
30346,Atlanta,GA,Le Méridien Atlanta Perimeter,19
32703,Apopka,FL,Wawa,19
V7B 0A4,Richmond,BC,WestJet,19
78738,Lakeway,TX,Lakeway Regional Medical Center,19
02111,Boston,MA,The Godfrey Hotel Boston,19
30320,Atlanta,GA,Alaska Airlines,19
43215,Columbus,OH,Huntington Park,19
32812,Orlando,FL,Hertz Rent A Car,19
32826,Orlando,FL,Wawa,19
30035,Decatur,GA,Waffle House,19
32819,Orlando,FL,Loews Portofino Bay Hotel,19
32836,Orlando,FL,Four Seasons Resort,19
02109,Boston,MA,"Marriott Vacation Club Pulse at Custom House, Boston",19
78737,Austin,TX,Keith's Bee Service,19
02108,Boston,MA,Omni Parker House,19
30328,Atlanta,GA,Hilton Atlanta Perimeter Suites,19
V6G 2M4,Vancouver,BC,Anytime Fitness,19
78701,Austin,TX,The Westin Austin Downtown,19
30303,Atlanta,GA,Sheraton Atlanta Hotel,19
32830,Lake Buena Vista,FL,Hilton Orlando Lake Buena Vista - Disney Springs Area,19
97230,Portland,OR,Four Points by Sheraton Portland East,19
32746,Lake Mary,FL,Hyatt Place Lake Mary/Orlando-North,19
78732,Austin,TX,Lake Austin Spa Resort,19
43206,Columbus,OH,Calhoun Plumbing,18
78620,Dripping Springs,TX,Precision Garage Door of Austin,18
32746,Lake Mary,FL,Hilton Garden Inn Orlando North/Lake Mary,18
97220,Portland,OR,WinCo Foods,18
32712,Apopka,FL,Wawa,18
32821,Orlando,FL,"Sheraton Vistana Villages Resort Villas, I-Drive/Orlando",18
02184,Braintree,MA,Hyatt Place Boston/Braintree,18
32703,Apopka,FL,McDonald's,18
34746,Kissimmee,FL,CLC Regal Oaks Resort,18
32832,Orlando,FL,Walmart Supercenter,18
32830,Orlando,FL,Disney's Port Orleans Resort - Riverside,18
78758,Austin,TX,Water Damage Restoration and Roofing of Austin,18
30354,Atlanta,GA,Renaissance Concourse Atlanta Airport Hotel,18
78758,Austin,TX,Laserwash of Braker Ln,18
02127,Boston,MA,Doughboy Donuts & Deli,18
30340,Doraville,GA,QuikTrip,18
97209,Portland,OR,Hampton Inn & Suites Portland-Pearl District,18
97124,Hillsboro,OR,"Embassy Suites by Hilton Portland Hillsboro, Oregon",18
32714,Altamonte Springs,FL,McDonald's,18
02128,Boston,MA,Delta Airlines,18
97006,Hillsboro,OR,Carl's Jr,18
32789,Winter Park,FL,Wawa,18
43219,Columbus,OH,John Glenn Columbus International Airport,18
30306,Atlanta,GA,The Highland Inn Ballroom Lounge,18
V6X 1A3,Richmond,BC,Vancouver Airport Marriott Hotel,18
02116,Boston,MA,Taj Boston,18
97213,Portland,OR,7-Eleven,18
97220,Portland,OR,Holiday Inn Portland-Airport,18
V6C 2Y9,Vancouver,BC,Metropolitan Hotel Vancouver,18
34747,Kissimmee,FL,Quality Inn & Suites Kissimmee by The Lake,17
78704,Austin,TX,Vonlane,17
30318,Atlanta,GA,Sublime Doughnuts,17
02111,Boston,MA,McDonald's,17
02145,Somerville,MA,La Quinta by Wyndham Boston Somerville,17
01821,Billerica,MA,Courtyard Boston Billerica/Bedford,17
78745,Austin,TX,Candlewood Suites Austin-South,17
32837,Orlando,FL,Waffle House,17
V6B,Vancouver,BC,Hotel BLU Vancouver,17
32809,Orlando,FL,7-Eleven,17
33896,Championsgate,FL,Omni Orlando Resort at ChampionsGate,17
32819,Orlando,FL,"Castle Hotel, Autograph Collection",17
32821,Orlando,FL,Courtyard Orlando Lake Buena Vista in the Marriott Village,17
30329,Atlanta,GA,Sublime Doughnuts,17
02199,Boston,MA,Mandarin Oriental Hotel,17
32801,Orlando,FL,Embassy Suites by Hilton Orlando Downtown,17
30306,Atlanta,GA,The Majestic Diner,17
01960,Peabody,MA,Boston Marriott Peabody,17
34747,Kissimmee,FL,Grand Orlando Resort at Celebration,17
02446,Brookline,MA,Coolidge Corner Theatre,17
02111,Boston,MA,Hyatt Regency Boston,17
02142,Cambridge,MA,Royal Sonesta Boston,17
32812,Orlando,FL,Home2 Suites By Hilton Orlando Airport,17
78741,Austin,TX,The Buzz Mill,17
02116,Boston,MA,"The Westin Copley Place, Boston",17
78757,Austin,TX,Whataburger,17
97218,Portland,OR,Coffee People,17
01862,Billerica,MA,Cumberland Farms,17
32837,Orlando,FL,Courtyard by Marriott Orlando South/Grande Lakes Area,17
43204,Columbus,OH,Pilot Travel Center,17
30320,Atlanta,GA,Minute Suites - Concourse B,17
30337,Atlanta,GA,Atlanta Airport Marriott Gateway,17
43235,Columbus,OH,DoubleTree by Hilton Hotel Columbus - Worthington,17
30337,Atlanta,GA,Atlanta Airport Marriott,17
30303,Atlanta,GA,The American Hotel Atlanta Downtown - a DoubleTree by Hilton,17
01923,Danvers,MA,Knights Inn Danvers,17
V6A 1P2,Vancouver,BC,Empress Hotel,17
97204,Portland,OR,AC Hotel Portland Downtown,17
32714,Altamonte Springs,FL,Wawa,16
78704,Austin,TX,The Carpenter Hotel,16
97205,Portland,OR,Sentinel,16
97217,Portland,OR,Plaid Pantry,16
32801,Orlando,FL,CoLab Orlando,16
78701,Austin,TX,Aloft Austin Downtown,16
97203,Portland,OR,ampm,16
97225,Portland,OR,Providence St Vincent Medical Center,16
02215,Boston,MA,7-Eleven,16
78704,Austin,TX,Whataburger,16
78701,Austin,TX,Shop 24,16
30339,Atlanta,GA,Embassy Suites by Hilton Atlanta Galleria,16
32827,ORLANDO,FL,Thrifty Car Rental,16
01923,Danvers,MA,Kaplan Family Hospice House,16
32821,Orlando,FL,7-Eleven,16
78705,Austin,TX,Ken's Donuts,16
34715,Minneola,FL,Donut King,16
78701,Austin,TX,W Austin,16
02108,Boston,MA,One Beacon,16
30303,Atlanta,GA,"The Ritz-Carlton, Atlanta",16
V6E 1C2,Vancouver,BC,Pacific Palisades Hotel,16
02210,Boston,MA,InterContinental Boston,16
43228,Columbus,OH,Amy's Donuts,16
02116,Boston,MA,Motor Mart Garage,16
80305,Boulder,CO,303 Limo Bus,16
02115,Boston,MA,Hilton Boston Back Bay,16
78701,Austin,TX,Hilton Austin,16
32819,Orlando,FL,Hilton Orlando,16
78753,Austin,TX,Whataburger,16
78753,Austin,TX,Courtyard Austin North/Parmer Lane,16
78702,Austin,TX,Las Cazuelas Mexican Restaurant,16
32763,Orange City,FL,Dunkin',16
30319,Atlanta,GA,Dunkin',16
02116,Boston,MA,The Colonnade Hotel,16
30309,Atlanta,GA,Hilton Garden Inn Atlanta Midtown,16
78723,Austin,TX,Dell Children's Medical Center,16
78741,Austin,TX,Rodeway Inn,16
30327,Atlanta,GA,Waffle House,16
97266,Portland,OR,McDonald's,16
30342,Atlanta,GA,McDonald's,16
01970,Salem,MA,Muscle Moving & Storage,16
32809,Orlando,FL,Wawa,16
97220,Portland,OR,Heavenly Donuts,16
78701,Austin,TX,Ninja Buses - Austin Party Bus Rentals,16
30326,Atlanta,GA,Waldorf Astoria Atlanta Buckhead,15
02118,Boston,MA,AC Hotel by Marriott Boston Downtown,15
43222,Columbus,OH,White Castle,15
02141,Cambridge,MA,Kimpton Hotel Marlowe,15
97227,Portland,OR,Legacy Emanuel Medical Center,15
32926,Cocoa,FL,Flying J,15
43081,Westerville,OH,Waffle House,15
V6C 1P7,Vancouver,BC,Rosewood Hotel Georgia,15
97211,Portland,OR,Gerlock Towing & Heavy Haul,15
V6Z 1Y5,Vancouver,BC,The Century Plaza Hotel & Spa,15
97209,Portland,OR,The Society Hotel,15
78660,Pflugerville,TX,Jack in the Box,15
30067,Marietta,GA,RaceTrac,15
